Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,AdoptionSpeed
Cat,3,Tabby,Male,Black,White,Small,Short,No,No,Healthy,100,1,2
Cat,1,Domestic Medium Hair,Male,Black,Brown,Medium,Medium,Not Sure,Not Sure,Healthy,0,2,0
Cat,3,Domestic Short Hair,Female,Cream,Gray,Medium,Short,No,No,Healthy,0,,2
Cat,12,Domestic Long Hair,Male,Black,No Color,Medium,Long,No,Not Sure,Healthy,300,3,1
Cat,2,Domestic Medium Hair,Female,Gray,No Color,Medium,Medium,No,No,Healthy,0,,6
Cat,12,Domestic Medium Hair,Female,Black,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,,2
Cat,3,Domestic Long Hair,Female,Black,Brown,Large,Long,Yes,No,Healthy,50,,2
Dog,2,Mixed Breed,Male,Brown,Cream,Medium,Long,Yes,No,Healthy,0,1,2
Dog,78,Terrier,Male,Black,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,,2
Cat,6,Domestic Short Hair,Female,Brown,No Color,Small,Short,Yes,Yes,Healthy,0,1,3
Dog,8,Mixed Breed,Female,Brown,No Color,Medium,Short,No,Yes,Healthy,10,2,4
Dog,10,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,,0
Cat,2,Persian,Male,Golden,No Color,Medium,Medium,No,No,Healthy,0,11,1
Cat,1,Domestic Short Hair,Female,Brown,White,Small,Short,No,No,Healthy,0,,1
Cat,1,Domestic Short Hair,Male,Black,No Color,Small,Short,No,No,Healthy,0,1,1
Cat,3,Domestic Short Hair,Female,Black,White,Small,Short,Yes,No,Healthy,1,5,4
Cat,12,Domestic Long Hair,Female,Gray,No Color,Medium,Long,No,No,Healthy,0,5,1
Cat,2,Domestic Medium Hair,Female,Brown,No Color,Small,Medium,No,No,Healthy,0,,1
Dog,12,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,,4
Dog,12,Mixed Breed,Male,Cream,No Color,Medium,Medium,Yes,No,Healthy,0,1,3
Cat,2,Domestic Medium Hair,Female,White,No Color,Medium,Medium,No,No,Healthy,0,,13
Cat,6,Domestic Short Hair,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,100,1,4
Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,3,3
Dog,4,Mixed Breed,Male,Cream,No Color,Large,Medium,No,No,Healthy,0,,3
Dog,60,Mixed Breed,Female,Brown,Cream,Medium,Short,No,Yes,Healthy,0,2,4
Dog,48,Shih Tzu,Female,Brown,Cream,Medium,Medium,Yes,No,Healthy,0,5,1
Cat,3,Domestic Short Hair,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,1,4
Dog,62,Mixed Breed,Male,Black,Golden,Medium,Medium,Yes,Yes,Healthy,0,3,4
Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,3
Dog,2,Labrador Retriever,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,5,1
Dog,2,Mixed Breed,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,,3
Dog,2,Mixed Breed,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,1,0
